id,oid,vid,qty
1,5727,2655,1
2,8959,3308,1
3,1975,1937,1
4,9225,206,1
5,2926,1162,1
6,8762,250,1
7,2911,1529,1
8,2781,695,1
9,5046,2403,1
10,1607,4660,1
11,4995,4431,1
12,13107,1001,1
13,5249,246,1
14,14103,2018,1
15,2172,62,1
16,9235,1096,1
17,1321,73,1
18,4378,3566,1
19,983,838,1
20,4944,1029,1
21,12379,2228,1
22,2364,2540,1
23,13939,4014,1
24,10312,1304,1
25,13104,2760,1
26,13787,4676,1
27,9798,3773,1
28,7543,93,1
29,3119,1002,1
30,14022,2421,1
31,2027,90,1
32,12711,3562,1
33,4596,286,1
34,3591,4969,1
35,110,632,1
36,4387,3740,1
37,12452,2525,1
38,7066,1070,1
39,8541,1550,1
40,13983,3055,1
41,1334,2321,1
42,11507,3793,1
43,1497,3633,1
44,6953,3405,1
45,9762,1798,1
46,12283,2794,1
47,7042,4865,1
48,483,1555,1
49,13549,1441,1
50,8547,1420,1
51,8191,371,1
52,9190,2473,1
53,9515,4554,1
54,14639,707,1
55,3331,4411,1
56,5751,536,1
57,2155,3579,1
58,10237,4950,1
59,4752,1583,1
60,10685,3555,1
61,6463,1608,1
62,2755,1732,1
63,11751,641,1
64,12760,1752,1
65,13264,3134,1
66,5291,2056,1
67,12837,4195,1
68,548,4518,1
69,13869,4150,1
70,10769,487,1
71,4456,4570,1
72,9963,1991,1
73,597,3840,1
74,8923,815,1
75,4384,3972,1
76,7102,4037,1
77,8383,1786,1
78,11024,2688,1
79,4710,4588,1
80,13564,853,1
81,2953,425,1
82,3049,4828,1
83,6391,3651,1
84,13321,4281,1
85,7814,3988,1
86,13531,255,1
87,3625,3374,1
88,3456,1191,1
89,6190,2102,1
90,1571,585,1
91,10547,3596,1
92,10737,4269,1
93,6577,322,1
94,13975,721,1
95,2697,999,1
96,8955,847,1
97,4235,4622,1
98,3347,2449,1
99,9014,2184,1
100,3578,4956,1
101,4754,1138,1
102,3985,214,1
103,1472,2732,1
104,6434,2150,1
105,7019,896,1
106,14751,2383,1
107,10488,2875,1
108,5401,3424,1
109,12064,4027,1
110,4277,4707,1
111,11950,2845,1
112,7904,1264,1
113,4932,4290,1
114,10836,2045,1
115,13208,4965,1
116,5842,4892,1
117,10876,1708,1
118,13255,1313,1
119,4819,3792,1
120,3380,1606,1
121,11135,1570,1
122,4101,3366,1
123,13688,3436,1
124,14011,1602,1
125,2735,1034,1
126,2140,1547,1
127,5544,3635,1
128,11816,2421,1
129,12206,2488,1
130,6447,3531,1
131,9112,3063,1
132,4190,1269,1
133,9217,3468,1
134,11721,4075,1
135,11398,605,1
136,11642,2061,1
137,14592,3064,1
138,4047,425,1
139,11305,388,1
140,14370,591,1
141,35,2305,1
