id,user_id,total_amount,created_at
1,4937,460000,2026-01-18 20:34:04
2,3900,200000,2026-01-18 20:34:04
3,1098,500000,2026-01-18 20:34:04
4,1123,360000,2026-01-18 20:34:04
5,6060,340000,2026-01-18 20:34:04
6,3449,500000,2026-01-18 20:34:04
7,8881,60000,2026-01-18 20:34:04
8,3627,440000,2026-01-18 20:34:04
9,3266,380000,2026-01-18 20:34:04
10,9794,110000,2026-01-18 20:34:04
11,7166,370000,2026-01-18 20:34:04
12,7074,500000,2026-01-18 20:34:04
13,8879,60000,2026-01-18 20:34:04
14,2236,310000,2026-01-18 20:34:04
15,3049,270000,2026-01-18 20:34:04
16,9460,90000,2026-01-18 20:34:04
17,1756,160000,2026-01-18 20:34:04
18,3516,10000,2026-01-18 20:34:04
19,7769,320000,2026-01-18 20:34:04
20,9295,40000,2026-01-18 20:34:04
21,1442,250000,2026-01-18 20:34:04
22,7371,470000,2026-01-18 20:34:04
23,9737,420000,2026-01-18 20:34:04
24,5829,490000,2026-01-18 20:34:04
25,9946,140000,2026-01-18 20:34:04
26,2672,270000,2026-01-18 20:34:04
27,7861,170000,2026-01-18 20:34:04
28,4232,20000,2026-01-18 20:34:04
29,2723,110000,2026-01-18 20:34:04
30,5625,230000,2026-01-18 20:34:04
31,9130,200000,2026-01-18 20:34:04
32,1613,430000,2026-01-18 20:34:04
33,1483,70000,2026-01-18 20:34:04
34,6642,190000,2026-01-18 20:34:04
35,5705,430000,2026-01-18 20:34:04
36,5705,120000,2026-01-18 20:34:04
37,2052,90000,2026-01-18 20:34:04
38,2491,30000,2026-01-18 20:34:04
39,3331,200000,2026-01-18 20:34:04
40,5686,140000,2026-01-18 20:34:04
41,3968,240000,2026-01-18 20:34:04
42,3861,410000,2026-01-18 20:34:04
43,3694,320000,2026-01-18 20:34:04
44,9278,200000,2026-01-18 20:34:04
45,7637,270000,2026-01-18 20:34:04
46,6341,130000,2026-01-18 20:34:04
47,318,20000,2026-01-18 20:34:04
48,7342,300000,2026-01-18 20:34:04
49,6074,80000,2026-01-18 20:34:04
50,1104,310000,2026-01-18 20:34:04
51,748,500000,2026-01-18 20:34:04
52,5060,80000,2026-01-18 20:34:04
53,5799,20000,2026-01-18 20:34:04
54,6285,240000,2026-01-18 20:34:04
55,562,180000,2026-01-18 20:34:04
56,1073,100000,2026-01-18 20:34:04
57,5513,100000,2026-01-18 20:34:04
58,8581,400000,2026-01-18 20:34:04
59,4125,420000,2026-01-18 20:34:04
60,6648,50000,2026-01-18 20:34:04
61,3067,120000,2026-01-18 20:34:04
62,1110,330000,2026-01-18 20:34:04
63,3257,290000,2026-01-18 20:34:04
64,9964,450000,2026-01-18 20:34:04
65,6157,10000,2026-01-18 20:34:04
66,7371,390000,2026-01-18 20:34:04
67,8,390000,2026-01-18 20:34:04
68,3461,160000,2026-01-18 20:34:04
69,9871,340000,2026-01-18 20:34:04
70,9637,340000,2026-01-18 20:34:04
71,1563,180000,2026-01-18 20:34:04
72,5675,330000,2026-01-18 20:34:04
73,6742,230000,2026-01-18 20:34:04
74,8581,300000,2026-01-18 20:34:04
75,4422,390000,2026-01-18 20:34:04
76,6009,380000,2026-01-18 20:34:04
77,5239,290000,2026-01-18 20:34:04
78,1694,170000,2026-01-18 20:34:04
79,2928,300000,2026-01-18 20:34:04
80,139,20000,2026-01-18 20:34:04
81,3303,360000,2026-01-18 20:34:04
82,8935,40000,2026-01-18 20:34:04
83,5536,320000,2026-01-18 20:34:04
84,2208,380000,2026-01-18 20:34:04
85,2080,410000,2026-01-18 20:34:04
86,9847,400000,2026-01-18 20:34:04
87,4657,210000,2026-01-18 20:34:04
88,664,260000,2026-01-18 20:34:04
89,4862,100000,2026-01-18 20:34:04
90,1063,370000,2026-01-18 20:34:04
91,6254,80000,2026-01-18 20:34:04
92,8822,270000,2026-01-18 20:34:04
93,5261,500000,2026-01-18 20:34:04
94,4115,440000,2026-01-18 20:34:04
95,9078,80000,2026-01-18 20:34:04
96,1614,360000,2026-01-18 20:34:04
97,3789,290000,2026-01-18 20:34:04
98,4296,190000,2026-01-18 20:34:04
99,2696,250000,2026-01-18 20:34:04
100,8920,490000,2026-01-18 20:34:04
101,6574,20000,2026-01-18 20:34:04
102,4087,300000,2026-01-18 20:34:04
103,1128,120000,2026-01-18 20:34:04
104,9963,210000,2026-01-18 20:34:04
105,276,410000,2026-01-18 20:34:04
106,7984,280000,2026-01-18 20:34:04
107,232,340000,2026-01-18 20:34:04
108,7586,130000,2026-01-18 20:34:04
109,3315,470000,2026-01-18 20:34:04
110,8152,310000,2026-01-18 20:34:04
111,4655,250000,2026-01-18 20:34:04
112,4170,180000,2026-01-18 20:34:04
113,6739,150000,2026-01-18 20:34:04
114,9155,290000,2026-01-18 20:34:04
115,8821,40000,2026-01-18 20:34:04
116,4017,290000,2026-01-18 20:34:04
117,8316,190000,2026-01-18 20:34:04
118,2297,440000,2026-01-18 20:34:04
119,7364,420000,2026-01-18 20:34:04
120,1864,300000,2026-01-18 20:34:04
121,987,260000,2026-01-18 20:34:04
122,4964,450000,2026-01-18 20:34:04
123,9656,500000,2026-01-18 20:34:04
124,2306,280000,2026-01-18 20:34:04
125,7115,40000,2026-01-18 20:34:04
126,976,100000,2026-01-18 20:34:04
127,9007,260000,2026-01-18 20:34:04
128,6658,10000,2026-01-18 20:34:04
129,6460,60000,2026-01-18 20:34:04
130,5482,310000,2026-01-18 20:34:04
131,8314,410000,2026-01-18 20:34:04
132,2624,320000,2026-01-18 20:34:04
133,8288,360000,2026-01-18 20:34:04
134,3361,370000,2026-01-18 20:34:04
135,9978,40000,2026-01-18 20:34:04
136,5172,440000,2026-01-18 20:34:04
137,8456,470000,2026-01-18 20:34:04
138,3272,440000,2026-01-18 20:34:04
139,803,120000,2026-01-18 20:34:04
140,1529,420000,2026-01-18 20:34:04
141,6474,30000,2026-01-18 20:34:04
142,1201,20000,2026-01-18 20:34:04
143,9435,280000,2026-01-18 20:34:04
144,8059,350000,2026-01-18 20:34:04
145,9166,160000,2026-01-18 20:34:04
146,8354,10000,2026-01-18 20:34:04
147,8987,420000,2026-01-18 20:34:04
148,3848,400000,2026-01-18 20:34:04
149,7452,480000,2026-01-18 20:34:04
150,6132,60000,2026-01-18 20:34:04
151,6540,200000,2026-01-18 20:34:04
152,3459,50000,2026-01-18 20:34:04
153,511,120000,2026-01-18 20:34:04
154,8590,440000,2026-01-18 20:34:04
155,6043,130000,2026-01-18 20:34:04
156,604,200000,2026-01-18 20:34:04
157,7668,30000,2026-01-18 20:34:04
158,2462,320000,2026-01-18 20:34:04
159,7510,190000,2026-01-18 20:34:04
160,392,450000,2026-01-18 20:34:04
161,1179,460000,2026-01-18 20:34:04
162,3056,480000,2026-01-18 20:34:04
163,4844,490000,2026-01-18 20:34:04
164,2527,120000,2026-01-18 20:34:04
165,3204,450000,2026-01-18 20:34:04
166,9140,50000,2026-01-18 20:34:04
167,6593,250000,2026-01-18 20:34:04
168,5736,440000,2026-01-18 20:34:04
169,3139,220000,2026-01-18 20:34:04
170,3932,450000,2026-01-18 20:34:04
171,935,440000,2026-01-18 20:34:04
172,2622,340000,2026-01-18 20:34:04
173,2013,260000,2026-01-18 20:34:04
174,2827,370000,2026-01-18 20:34:04
175,7396,320000,2026-01-18 20:34:04
176,4366,70000,2026-01-18 20:34:04
177,6936,40000,2026-01-18 20:34:04
178,9126,150000,2026-01-18 20:34:04
179,6450,440000,2026-01-18 20:34:04
180,1174,220000,2026-01-18 20:34:04
181,2014,490000,2026-01-18 20:34:04
182,7046,380000,2026-01-18 20:34:04
183,1786,340000,2026-01-18 20:34:04
184,6055,460000,2026-01-18 20:34:04
