vid,pid,color,size,stock,price
1,220,Red,M,10,200000
2,1079,Red,M,10,200000
3,520,Red,M,10,200000
4,1356,Red,M,10,200000
5,14,Red,M,10,200000
6,1734,Red,M,10,200000
7,1553,Red,M,10,200000
8,1399,Red,M,10,200000
9,1771,Red,M,10,200000
10,1429,Red,M,10,200000
11,1688,Red,M,10,200000
12,1948,Red,M,10,200000
13,1878,Red,M,10,200000
14,94,Red,M,10,200000
15,401,Red,M,10,200000
16,1333,Red,M,10,200000
17,1203,Red,M,10,200000
18,1762,Red,M,10,200000
19,501,Red,M,10,200000
20,1721,Red,M,10,200000
21,105,Red,M,10,200000
22,250,Red,M,10,200000
23,1094,Red,M,10,200000
24,514,Red,M,10,200000
25,86,Red,M,10,200000
26,1707,Red,M,10,200000
27,1791,Red,M,10,200000
28,1885,Red,M,10,200000
29,1309,Red,M,10,200000
30,181,Red,M,10,200000
31,922,Red,M,10,200000
32,1629,Red,M,10,200000
33,1675,Red,M,10,200000
34,712,Red,M,10,200000
35,1468,Red,M,10,200000
36,939,Red,M,10,200000
37,200,Red,M,10,200000
38,1716,Red,M,10,200000
39,75,Red,M,10,200000
40,590,Red,M,10,200000
41,264,Red,M,10,200000
42,1868,Red,M,10,200000
43,111,Red,M,10,200000
44,1284,Red,M,10,200000
45,1,Red,M,10,200000
46,1909,Red,M,10,200000
47,886,Red,M,10,200000
48,954,Red,M,10,200000
49,982,Red,M,10,200000
50,2000,Red,M,10,200000
51,1890,Red,M,10,200000
52,1358,Red,M,10,200000
53,882,Red,M,10,200000
54,1010,Red,M,10,200000
55,1437,Red,M,10,200000
56,1374,Red,M,10,200000
57,1793,Red,M,10,200000
58,1565,Red,M,10,200000
59,1629,Red,M,10,200000
60,1372,Red,M,10,200000
61,1656,Red,M,10,200000
62,365,Red,M,10,200000
63,1042,Red,M,10,200000
64,497,Red,M,10,200000
65,53,Red,M,10,200000
66,81,Red,M,10,200000
67,1723,Red,M,10,200000
68,1467,Red,M,10,200000
69,753,Red,M,10,200000
70,451,Red,M,10,200000
71,537,Red,M,10,200000
