id,order_id,variant_id,quantity,price_at_purchase
1,2458,8241,1,100000
2,1401,2000,1,100000
3,2369,11337,1,100000
4,6603,10311,1,100000
5,10757,11958,1,100000
6,9661,2026,1,100000
7,801,10764,1,100000
8,12571,1345,1,100000
9,920,5020,1,100000
10,8920,9456,1,100000
11,4350,11034,1,100000
12,10981,2474,1,100000
13,10732,281,1,100000
14,6502,317,1,100000
15,938,7666,1,100000
16,12853,2795,1,100000
17,11940,995,1,100000
18,12890,473,1,100000
19,11068,9364,1,100000
20,7848,2431,1,100000
21,5488,2676,1,100000
22,11916,7744,1,100000
23,12575,11523,1,100000
24,6508,3636,1,100000
25,2117,4425,1,100000
26,4938,1505,1,100000
27,13256,10243,1,100000
28,6620,11817,1,100000
29,11231,8350,1,100000
30,8874,11868,1,100000
31,14446,3355,1,100000
32,907,2477,1,100000
33,2752,275,1,100000
34,4915,4835,1,100000
35,10218,4660,1,100000
36,1077,7750,1,100000
37,5208,8458,1,100000
38,5505,9817,1,100000
39,2838,2681,1,100000
40,4627,999,1,100000
41,10453,7493,1,100000
42,14184,2293,1,100000
43,6384,10453,1,100000
44,1029,10327,1,100000
45,4546,2988,1,100000
46,998,927,1,100000
47,13597,11671,1,100000
48,13727,1777,1,100000
49,14625,11173,1,100000
50,2499,11538,1,100000
51,13336,10096,1,100000
52,11558,6590,1,100000
53,6882,6394,1,100000
54,8417,6680,1,100000
55,3122,8754,1,100000
56,9658,156,1,100000
57,9636,4150,1,100000
58,11965,6289,1,100000
59,13641,10163,1,100000
60,196,10362,1,100000
61,6361,2503,1,100000
62,2526,8235,1,100000
63,4107,11368,1,100000
64,1463,8185,1,100000
65,4780,6717,1,100000
66,13427,2282,1,100000
67,2649,9258,1,100000
68,13184,7308,1,100000
69,11347,457,1,100000
70,2383,769,1,100000
71,2335,9523,1,100000
72,9622,6840,1,100000
73,142,2367,1,100000
74,2342,7959,1,100000
75,14136,11777,1,100000
76,4372,3732,1,100000
77,12768,10708,1,100000
78,95,6723,1,100000
79,4276,2194,1,100000
80,13453,9098,1,100000
81,11723,767,1,100000
82,7273,4624,1,100000
83,12635,10726,1,100000
84,12965,10164,1,100000
85,13142,7963,1,100000
86,3024,9113,1,100000
87,14968,4000,1,100000
88,12292,10943,1,100000
89,8552,1603,1,100000
90,2174,11501,1,100000
91,3408,9700,1,100000
92,14531,7594,1,100000
93,12043,4533,1,100000
94,196,4716,1,100000
95,9115,11194,1,100000
96,4774,2471,1,100000
97,2939,9231,1,100000
98,10936,1095,1,100000
99,8911,1801,1,100000
100,11450,2905,1,100000
101,6231,4277,1,100000
102,10430,6819,1,100000
103,2762,9916,1,100000
104,2574,2004,1,100000
105,4108,7144,1,100000
106,4498,7382,1,100000
107,8030,7520,1,100000
108,12259,11520,1,100000
109,927,6351,1,100000
110,11641,3752,1,100000
111,7772,3,1,100000
112,10670,5654,1,100000
113,2065,9554,1,100000
114,7821,10643,1,100000
115,6492,246,1,100000
116,12898,3392,1,100000
117,826,3129,1,100000
118,792,10819,1,100000
119,2592,10188,1,100000
120,6681,381,1,100000
121,5016,1841,1,100000
122,5373,9431,1,100000
123,2078,11864,1,100000
124,610,10554,1,100000
125,3454,11046,1,100000
126,8627,3229,1,100000
127,8221,1234,1,100000
128,1513,8345,1,100000
129,360,11946,1,100000
130,11243,10457,1,100000
131,684,9010,1,100000
132,11787,3341,1,100000
133,8267,4140,1,100000
134,13583,2974,1,100000
135,9703,5011,1,100000
136,8273,10396,1,100000
137,2495,6753,1,100000
138,4243,11442,1,100000
139,11508,6289,1,100000
140,14482,11803,1,100000
141,3758,2015,1,100000
142,11502,846,1,100000
143,9016,7627,1,100000
144,1875,6101,1,100000
145,8612,11004,1,100000
146,14711,3996,1,100000
147,4108,7905,1,100000
148,9480,3236,1,100000
149,12670,10643,1,100000
150,13321,3319,1,100000
151,11219,8118,1,100000
152,10569,1174,1,100000
153,12277,1790,1,100000
154,14657,7501,1,100000
155,1627,11950,1,100000
156,2624,10888,1,100000
157,10066,10396,1,100000
158,965,4928,1,100000
159,5489,977,1,100000
