id,product_id,color,size,stock,price
1,198,Den,M,38,190000.0
2,4250,Hong,29,43,330000.0
3,1529,Xam,L,9,20000.0
4,4312,Xam,256GB,-5,940000.0
5,2328,Den,S,39,110000.0
6,3161,Xam,31,42,490000.0
7,965,Xam,128GB,22,870000.0
8,774,Hong,XL,2,100000.0
9,4272,Hong,31,21,160000.0
10,931,Den,256GB,5,130000.0
11,4784,Vang,XL,47,690000.0
12,681,Hong,XL,34,310000.0
13,355,Do,M,3,50000.0
14,3924,Vang,31,32,850000.0
15,802,Vang,M,12,680000.0
16,4923,Vang,S,35,690000.0
17,1301,Den,128GB,42,520000.0
18,805,Vang,XL,42,180000.0
19,2699,Xanh,L,44,670000.0
20,335,Xanh,31,14,840000.0
21,4174,Den,32,0,940000.0
22,20,Xanh,29,-6,610000.0
23,246,Xam,L,33,860000.0
24,956,Do,29,17,730000.0
25,4960,Hong,256GB,2,340000.0
26,4298,Do,M,-7,310000.0
27,3520,Hong,L,1,850000.0
28,943,Trang,S,9,660000.0
29,2554,Bac,M,43,960000.0
30,363,Do,XL,23,910000.0
31,3525,Xanh,29,7,0.0
32,361,Vang,30,10,260000.0
33,961,Hong,M,18,520000.0
34,1067,Vang,32,39,570000.0
35,3676,Vang,32,29,0.0
36,4363,Do,31,7,960000.0
37,1809,Hong,256GB,12,580000.0
38,3103,Do,XL,7,270000.0
39,2577,Do,XL,43,990000.0
40,1573,Vang,M,12,950000.0
41,2946,Den,M,47,60000.0
42,336,Xanh,M,22,580000.0
43,1403,Den,M,19,550000.0
44,3102,Bac,30,17,510000.0
45,42,Do,128GB,21,960000.0
46,2399,Hong,30,19,400000.0
47,1697,Xanh,256GB,27,430000.0
48,1883,Den,32,9,540000.0
49,3483,Bac,L,26,810000.0
50,4894,Den,32,35,670000.0
51,5,Do,30,20,720000.0
52,887,Xam,128GB,22,600000.0
53,476,Do,29,-1,260000.0
54,4148,Trang,S,17,920000.0
55,4837,Hong,M,8,400000.0
56,1778,Do,M,31,580000.0
57,443,Xam,L,-3,830000.0
58,241,Den,32,47,430000.0
59,3963,Vang,256GB,26,580000.0
60,832,Vang,M,9,160000.0
61,1694,Bac,XL,4,320000.0
62,2689,Vang,128GB,10,420000.0
63,4430,Vang,256GB,27,230000.0
64,3497,Do,128GB,15,170000.0
65,2109,Xanh,31,33,870000.0
66,2485,Trang,30,36,790000.0
67,4016,Trang,30,4,230000.0
68,2068,Trang,256GB,28,870000.0
69,3393,Vang,32,4,300000.0
70,2419,Bac,128GB,20,280000.0
71,1285,Xanh,L,18,10000.0
72,3640,Trang,29,46,650000.0
73,1884,Xanh,31,3,440000.0
74,2772,Do,M,16,890000.0
75,4218,Vang,XL,43,540000.0
76,4261,Xanh,256GB,29,1000000.0
77,3200,Den,128GB,30,210000.0
78,1950,Bac,S,-6,990000.0
79,3486,Vang,L,16,590000.0
80,625,Do,128GB,43,400000.0
81,4365,Hong,L,20,620000.0
82,823,Do,29,29,210000.0
83,46,Hong,M,47,440000.0
84,3822,Den,32,18,50000.0
85,3139,Hong,128GB,5,400000.0
86,3705,Trang,29,30,630000.0
87,1967,Hong,M,5,920000.0
88,2659,Den,L,39,1000000.0
89,446,Den,256GB,40,130000.0
90,151,Do,30,45,20000.0
91,1149,Do,256GB,16,0.0
92,4202,Hong,29,0,80000.0
93,1356,Xam,L,50,70000.0
94,795,Den,31,-1,480000.0
95,2178,Do,XL,39,0.0
96,1396,Xam,31,49,810000.0
97,1619,Hong,S,11,150000.0
98,959,Xam,128GB,49,380000.0
99,4551,Bac,31,29,0.0
100,4898,Den,XL,42,760000.0
101,3291,Hong,30,16,80000.0
102,153,Vang,XL,35,670000.0
103,4896,Xam,30,-6,800000.0
104,3458,Bac,29,25,370000.0
105,665,Den,31,38,530000.0
106,792,Vang,M,17,730000.0
107,4167,Den,128GB,20,0.0
108,3918,Do,256GB,45,550000.0
109,2502,Do,S,47,730000.0
110,4675,Xam,M,8,390000.0
111,2446,Bac,128GB,-3,740000.0
112,3408,Do,S,11,410000.0
113,744,Bac,M,8,680000.0
114,4152,Trang,256GB,26,0.0
115,324,Xanh,S,46,810000.0
116,4551,Hong,XL,48,890000.0
117,122,Xam,XL,24,820000.0
118,1025,Xanh,128GB,37,250000.0
119,4658,Do,XL,9,410000.0
120,32,Hong,L,46,530000.0
121,3980,Xanh,L,27,320000.0
122,1258,Bac,31,42,710000.0
123,354,Trang,30,17,980000.0
124,2834,Xam,30,15,320000.0
125,3859,Xanh,30,2,0.0
126,1047,Xanh,30,42,670000.0
127,3220,Trang,L,-5,310000.0
128,1214,Vang,30,26,0.0
129,461,Do,256GB,3,120000.0
130,1546,Do,31,14,50000.0
131,4974,Den,31,20,0.0
132,259,Vang,256GB,27,730000.0
133,4571,Trang,L,12,910000.0
134,778,Xanh,XL,7,480000.0
135,4580,Hong,31,12,660000.0
136,1906,Trang,30,38,220000.0
137,3652,Do,S,44,80000.0
138,1932,Den,256GB,38,240000.0
139,2635,Vang,30,25,530000.0
140,1729,Xam,29,49,980000.0
141,739,Xam,M,12,700000.0
142,2526,Xanh,31,4,950000.0
143,3886,Xanh,XL,1,750000.0
144,1914,Trang,256GB,5,130000.0
145,901,Do,XL,39,800000.0
146,2623,Xanh,XL,24,80000.0
147,4001,Xanh,256GB,5,940000.0
148,3599,Den,29,22,20000.0
149,1078,Xam,S,10,290000.0
150,3540,Vang,29,45,200000.0
151,3411,Do,L,48,40000.0
152,748,Bac,256GB,13,280000.0
153,1836,Xanh,XL,30,360000.0
154,2684,Xanh,L,31,970000.0
155,3014,Hong,M,35,910000.0
156,3904,Xam,S,32,640000.0
157,4007,Xam,256GB,29,0.0
158,2503,Xanh,30,35,310000.0
159,2157,Xanh,31,9,540000.0
160,636,Hong,29,18,210000.0
161,4237,Bac,S,50,230000.0
162,3021,Xam,31,35,940000.0
163,483,Xam,S,48,490000.0
164,699,Hong,256GB,40,60000.0
165,4213,Den,S,28,620000.0
166,737,Den,32,10,30000.0
167,2190,Xam,L,18,710000.0
168,2951,Do,256GB,33,550000.0
169,2735,Xanh,S,17,0.0
170,18,Xanh,128GB,13,660000.0
171,4540,Bac,L,4,700000.0
172,1899,Xanh,29,5,720000.0
173,1153,Xanh,29,11,530000.0
174,3235,Den,M,3,820000.0
175,3695,Xam,S,14,250000.0
176,1962,Den,XL,50,600000.0
177,4507,Hong,L,44,600000.0
178,1428,Vang,L,15,630000.0
179,1016,Trang,L,33,890000.0
180,4572,Xanh,M,50,930000.0
181,1412,Do,M,-4,610000.0
182,4803,Vang,256GB,45,450000.0
183,501,Bac,XL,12,680000.0
184,1645,Xanh,30,2,400000.0
185,3100,Hong,M,48,50000.0
186,273,Bac,31,12,0.0
187,2634,Trang,32,44,0.0
188,1371,Hong,L,23,0.0
189,2376,Xanh,256GB,24,320000.0
190,763,Hong,30,34,560000.0
191,4832,Den,S,32,690000.0
192,3932,Hong,S,50,640000.0
193,1551,Den,30,1,670000.0
194,2285,Trang,128GB,18,370000.0
195,2348,Xam,30,37,340000.0
196,1260,Vang,30,24,840000.0
197,899,Xanh,32,19,80000.0
198,1765,Trang,L,16,740000.0
199,1017,Trang,32,28,350000.0
200,4048,Bac,128GB,43,500000.0
201,2499,Hong,31,1,980000.0
202,2753,Den,30,33,220000.0
203,2401,Xanh,30,23,220000.0
204,3003,Bac,30,39,780000.0
205,640,Hong,32,17,130000.0
206,3935,Vang,128GB,33,120000.0
207,1184,Xam,128GB,28,0.0
208,3724,Trang,32,-4,950000.0
209,2687,Do,XL,10,420000.0
210,3831,Den,L,25,20000.0
211,3068,Trang,30,49,240000.0
212,648,Xam,30,-4,210000.0
213,831,Hong,S,35,490000.0
214,1497,Trang,XL,31,130000.0
215,2957,Xanh,31,20,810000.0
216,4010,Do,32,19,10000.0
217,4607,Do,256GB,24,850000.0
218,92,Hong,30,28,360000.0
219,2775,Den,32,21,850000.0
220,4172,Xanh,31,35,630000.0
221,497,Bac,128GB,20,80000.0
222,2903,Hong,S,7,770000.0
223,1483,Xam,256GB,34,670000.0
224,906,Hong,S,-7,630000.0
225,934,Hong,31,16,230000.0
226,3658,Xam,31,13,720000.0
227,4493,Do,29,21,60000.0
228,2416,Xanh,31,2,560000.0
229,144,Xanh,S,31,10000.0
230,1444,Xam,L,21,760000.0
231,578,Bac,M,9,880000.0
232,3903,Bac,29,4,30000.0
233,4888,Do,128GB,18,220000.0
234,4579,Do,M,25,650000.0
235,86,Vang,M,17,200000.0
236,4494,Vang,31,42,1000000.0
237,1581,Hong,30,37,130000.0
238,1345,Do,29,41,710000.0
239,2482,Trang,31,32,0.0
240,1431,Do,M,30,20000.0
241,2529,Do,29,6,650000.0
242,2966,Xam,S,30,390000.0
243,2657,Xanh,128GB,40,120000.0
244,3803,Do,32,9,430000.0
245,1054,Do,S,41,440000.0
246,3846,Do,30,35,400000.0
247,3885,Do,32,24,610000.0
248,2684,Vang,L,20,190000.0
249,3398,Den,29,36,550000.0
250,4603,Vang,29,44,680000.0
251,3102,Bac,L,17,790000.0
252,2439,Den,M,35,0.0
253,4803,Vang,29,17,570000.0
254,1846,Bac,32,11,50000.0
255,52,Do,29,31,800000.0
256,4929,Xam,L,49,0.0
257,4006,Hong,31,44,780000.0
258,561,Do,M,46,690000.0
259,3618,Do,30,2,780000.0
260,2134,Den,M,9,0.0
261,1255,Trang,29,47,480000.0
262,1406,Trang,L,9,880000.0
263,416,Trang,M,41,670000.0
264,2248,Hong,31,40,0.0
265,4743,Trang,L,24,930000.0
266,4540,Hong,XL,27,510000.0
267,381,Do,31,45,50000.0
268,3937,Trang,32,37,0.0
269,4174,Den,L,37,220000.0
270,4912,Xanh,XL,16,1000000.0
271,2105,Xanh,XL,49,0.0
272,2860,Den,31,45,690000.0
273,3420,Den,XL,47,520000.0
274,57,Den,S,34,980000.0
275,1302,Den,30,36,650000.0
276,1111,Xanh,S,28,410000.0
277,189,Vang,M,34,440000.0
278,2354,Trang,29,18,810000.0
279,932,Do,30,32,210000.0
280,1729,Den,XL,19,430000.0
281,4607,Xam,32,9,0.0
282,2990,Do,31,-2,690000.0
283,2262,Vang,128GB,46,390000.0
284,259,Bac,31,1,560000.0
285,1232,Do,128GB,33,10000.0
286,3494,Vang,M,43,630000.0
287,2521,Bac,S,12,50000.0
288,3166,Bac,S,19,120000.0
289,1152,Trang,M,15,600000.0
290,2092,Hong,XL,0,420000.0
291,3285,Den,L,19,390000.0
292,1001,Bac,32,30,850000.0
293,1355,Trang,31,48,540000.0
294,2369,Bac,30,33,180000.0
295,816,Xanh,29,32,450000.0
296,4079,Do,M,43,580000.0
297,1006,Do,M,5,920000.0
298,1512,Xam,30,40,0.0
299,3835,Den,S,45,840000.0
300,254,Vang,30,-2,740000.0
301,85,Trang,L,7,870000.0
302,1500,Xanh,32,15,200000.0
303,2011,Trang,L,21,920000.0
304,2802,Do,31,35,610000.0
305,4247,Den,31,50,590000.0
306,1889,Bac,128GB,32,0.0
307,4533,Xam,S,12,310000.0
308,118,Trang,128GB,35,630000.0
309,21,Xam,M,17,340000.0
310,191,Trang,32,47,700000.0
311,922,Trang,L,9,590000.0
312,3866,Do,32,15,870000.0
313,1480,Xam,30,35,280000.0
314,3914,Vang,L,30,1000000.0
315,1351,Xanh,128GB,-6,350000.0
316,4784,Do,29,14,610000.0
317,4741,Hong,256GB,20,720000.0
318,314,Hong,31,44,150000.0
319,1155,Hong,XL,33,730000.0
320,4082,Den,XL,1,820000.0
321,633,Vang,M,47,0.0
322,2099,Trang,M,23,290000.0
323,1975,Den,M,30,410000.0
324,639,Bac,S,1,120000.0
325,4648,Xanh,32,25,690000.0
326,2040,Xanh,L,3,180000.0
327,3472,Bac,29,44,230000.0
328,3431,Bac,256GB,3,450000.0
329,4929,Trang,30,4,860000.0
330,4595,Hong,256GB,44,390000.0
331,3885,Trang,32,30,90000.0
332,822,Xanh,29,15,560000.0
333,1891,Xam,31,-6,420000.0
334,1637,Hong,128GB,40,330000.0
335,1606,Den,L,25,270000.0
336,1302,Do,M,24,180000.0
337,4686,Trang,31,22,100000.0
338,1688,Xam,30,35,460000.0
339,555,Hong,128GB,8,230000.0
340,4334,Bac,256GB,24,590000.0
341,1963,Bac,31,15,80000.0
